DOB,Height,Reach,SApM,SLpM,STANCE,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.,Weight,fighter_id,name,record
"Nov 29, 1993","5' 7""","70""",5.22,5.95,Orthodox,41%,56%,0.0,0%,0.00,76%,135 lbs.,0232cabbc30a2372,Adrian Yanez,18-6-1
"Oct 31, 1969","5' 6""",--,4.07,0.51,Orthodox,40%,43%,0.0,12%,1.91,50%,135 lbs.,02500fb9fd79a974,Jason Reinhardt,20-3-0
"Feb 09, 1992","6' 0""","76""",4.04,2.61,Orthodox,45%,58%,0.0,50%,3.42,83%,205 lbs.,025f0b1b58fbad01,Darko Stosic,13-4-0
"Aug 05, 1973","5' 6""","67""",2.71,2.17,Orthodox,35%,55%,0.4,46%,4.09,56%,155 lbs.,029880cdbf5ca089,Sean Sherk,36-4-1
"Nov 14, 1990","5' 8""","68""",3.30,1.85,Orthodox,48%,58%,1.5,25%,0.29,44%,155 lbs.,029afd138865d20a,Rafael Alves,20-12-0
"Nov 13, 1989","5' 11""","72""",2.61,2.78,Orthodox,53%,65%,0.0,22%,1.25,88%,170 lbs.,029e1293e609fd74,Abubakar Nurmagomedov,17-4-1
"Jan 19, 1989","5' 9""","72""",4.57,5.24,Southpaw,50%,52%,1.2,35%,1.15,64%,155 lbs.,029eaff01e6bb8f0,Dustin Poirier,30-10-0 (1 NC)
"Jun 08, 1995","5' 2""","62""",6.47,4.57,Orthodox,40%,59%,0.0,14%,0.50,80%,115 lbs.,02bb48869eb7ac8f,Rayanne dos Santos,14-9-0
"May 17, 1973","5' 10""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,195 lbs.,02d276b7d62b3472,Rudyard Moncayo,0-3-0
"Dec 31, 1970","6' 3""",--,1.91,2.00,Orthodox,40%,55%,0.6,0%,0.00,77%,245 lbs.,02e52b3a595f0786,Kevin Jordan,11-9-0
"Aug 11, 1986","5' 9""","65""",4.82,3.52,Southpaw,41%,50%,0.0,25%,0.39,52%,145 lbs.,02f2a9702ba3d167,Artem Lobov,13-15-1 (1 NC)
"Aug 10, 1994","6' 4""","79""",3.66,2.14,Orthodox,25%,44%,1.7,0%,0.00,50%,205 lbs.,02f484417a6fa69d,Uran Satybaldiev,9-1-0
"Jan 01, 1994","5' 2""","63""",7.84,7.45,Orthodox,52%,57%,0.0,14%,0.20,94%,115 lbs.,02f8fedc18cbd26c,Emily Ducote,13-9-0
--,"6' 2""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,185 lbs.,02fc8f50f56eb307,Trent Jenkins,0-4-0
"Aug 09, 1971","6' 2""",--,4.84,0.94,Orthodox,11%,63%,0.0,0%,0.00,0%,265 lbs.,030f08370fd1c2bb,Kerry Schall,24-13-0 (1 NC)
"Sep 20, 1988","5' 10""","70""",1.75,4.10,Orthodox,48%,65%,0.8,48%,5.32,84%,155 lbs.,032cc3922d871c7f,Khabib Nurmagomedov,29-0-0
"Aug 05, 1982","5' 11""","75""",3.65,2.60,Orthodox,42%,51%,0.9,21%,0.91,47%,170 lbs.,0359313549d230a1,Pete Sell,10-7-0
"Feb 24, 1965","6' 1""",--,2.06,5.59,Orthodox,61%,79%,0.0,0%,0.00,0%,205 lbs.,03688dc3c3af3ac1,Bas Rutten,28-4-1
"Dec 10, 1997","5' 10""","72""",7.93,2.83,Orthodox,46%,42%,0.0,45%,2.50,71%,155 lbs.,036e96c1c12b8a59,Nick Fiore,6-2-0
"Dec 17, 1983","5' 11""","74""",2.29,2.65,Orthodox,49%,73%,0.4,31%,1.82,78%,155 lbs.,03c9994c5b8958ec,John Cholish,8-3-0
"Mar 09, 1996","6' 3""","74""",8.80,2.40,Orthodox,37%,68%,0.0,0%,0.00,0%,170 lbs.,03dee485905dbc9f,Zachary Scroggin,7-1-0
"Jun 10, 1983","6' 5""","77""",3.33,3.05,Southpaw,39%,54%,0.1,28%,0.29,70%,250 lbs.,03f982ca3735070c,Walt Harris,13-10-0 (1 NC)
"Jun 02, 1973","6' 1""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,230 lbs.,040426baba8a45e8,Nate Schroeder,11-10-0
"Jan 22, 1994","5' 8""","70""",3.15,3.52,Southpaw,43%,60%,0.3,60%,1.24,73%,145 lbs.,040a74bb0a465c54,Arnold Allen,21-4-0
"Dec 19, 1989","6' 0""","73""",4.19,2.74,Orthodox,25%,56%,0.0,0%,0.00,20%,185 lbs.,045f25b3a4c08e81,Jack Marshman,23-10-0
"Aug 18, 1973","5' 10""","74""",2.27,1.42,Orthodox,33%,59%,1.3,27%,1.69,27%,155 lbs.,04643fd03d9159cc,Marcus Aurelio,22-10-0
"Feb 20, 1993","5' 9""","71""",5.54,4.59,Orthodox,48%,51%,0.0,66%,2.28,100%,145 lbs.,047a91d3d9c79b05,Collin Anglin,8-3-0
"Oct 07, 1997","5' 6""","69""",5.53,7.89,Orthodox,52%,57%,0.7,34%,1.40,70%,125 lbs.,04835018f90b118c,Casey O'Neill,11-2-0
"Oct 02, 1978","6' 1""",--,2.16,1.11,Orthodox,62%,38%,2.7,9%,0.33,28%,185 lbs.,049d698d773eb3e1,Matt Horwich,30-25-1
"Aug 04, 1987","5' 11""","78""",2.70,2.45,Switch,48%,55%,0.0,33%,0.94,37%,185 lbs.,04b39f4e8eb59d7c,Oluwale Bamgbose,6-4-0
"Mar 03, 1983","5' 9""","72""",2.50,3.79,Orthodox,41%,74%,0.0,50%,0.45,71%,155 lbs.,04c15b52c3cc1cab,Nate Mohr,9-7-0
"Aug 02, 1991","6' 2""","75""",3.00,4.82,Orthodox,53%,57%,0.0,0%,0.00,69%,205 lbs.,04c8b08b16a5b99e,Tanner Boser,22-11-1
"Jan 25, 1977","5' 7""","69""",3.62,3.37,Orthodox,32%,62%,0.5,23%,0.81,60%,155 lbs.,04d5718ed2661e8c,Jorge Gurgel,14-10-0
"Mar 01, 1979","5' 9""",--,4.00,0.00,Orthodox,0%,38%,16.4,0%,0.00,0%,155 lbs.,04f9fe830cf13482,Gerald Strebendt,9-7-0
"Aug 11, 1983","6' 3""",--,6.03,3.60,Orthodox,42%,44%,1.0,42%,3.12,0%,265 lbs.,052ceb8976695342,Chase Gormley,14-6-0 (1 NC)
"Jun 25, 1987","5' 8""","71""",3.53,5.11,Orthodox,45%,57%,0.3,29%,0.70,37%,135 lbs.,05339613bf8e9808,Rob Font,22-10-0
"Mar 22, 1972","6' 0""","72""",3.20,3.06,Orthodox,54%,52%,0.0,57%,1.19,33%,205 lbs.,0541480fbf719d86,Houston Alexander,17-15-1 (2 NC)
"Jan 30, 1981","5' 10""","73""",4.79,1.86,Orthodox,48%,38%,2.4,46%,2.08,25%,185 lbs.,054defd5420a551f,Rob Kimmons,25-9-0
"Nov 29, 1979","5' 11""","73""",2.73,2.19,Orthodox,35%,54%,0.3,42%,0.40,65%,185 lbs.,05560764359161e4,Constantinos Philippou,13-5-0 (1 NC)
"Feb 09, 1987","5' 4""","64""",3.84,3.83,Orthodox,47%,57%,0.1,29%,1.78,72%,135 lbs.,056c493bbd76a918,Henry Cejudo,16-6-0
"Dec 10, 1975","6' 6""",--,3.05,2.15,Orthodox,52%,52%,0.0,55%,1.73,43%,253 lbs.,0577808d22dfe79c,Jon Olav Einemo,6-3-0
"Jun 08, 1971","5' 9""","73""",3.92,2.21,Orthodox,35%,42%,0.0,33%,1.38,81%,185 lbs.,05866d8c3a321856,Marvin Eastman,18-15-1
"Apr 04, 1979","5' 10""","69""",1.55,1.14,Orthodox,35%,66%,2.5,100%,1.22,25%,155 lbs.,058e4e08a1ad8aba,Dale Hartt,6-3-0
"Nov 09, 1982","6' 2""",--,2.59,1.44,Southpaw,66%,48%,2.2,0%,0.00,33%,185 lbs.,0597a4528ebd1307,Chris Price,19-4-0
"Apr 11, 1991","5' 4""","65""",4.75,3.89,Orthodox,43%,53%,0.6,57%,2.00,61%,115 lbs.,05b43e0ead3df345,Kailin Curran,4-5-0
"Feb 11, 1989","5' 6""","69""",3.91,4.62,Orthodox,45%,61%,0.6,52%,1.65,53%,125 lbs.,05fa626cb33d15b8,Andrea Lee,13-11-0
"Mar 22, 1985","6' 2""","74""",3.73,4.49,Orthodox,57%,62%,0.0,33%,0.71,88%,170 lbs.,0641c21bec209472,Mike Jackson,1-2-0 (1 NC)
"Jul 22, 1986","5' 8""",--,5.80,2.72,Orthodox,42%,51%,0.0,0%,0.00,14%,155 lbs.,064b7dc68d786254,Cain Carrizosa,10-3-0
"Mar 01, 1988","6' 0""","73""",3.67,2.88,Orthodox,41%,51%,0.6,0%,0.00,0%,155 lbs.,065eb44700e641a4,Devin Powell,9-4-0
"Sep 14, 1995","5' 9""","74""",4.88,6.19,Orthodox,54%,49%,0.3,28%,1.13,80%,155 lbs.,06626b6287e1ae1e,Chris Padilla,17-6-1
"May 16, 1994","6' 2""","73""",3.62,5.55,Orthodox,62%,45%,0.0,0%,0.00,73%,185 lbs.,06734ca9d88dec3a,Shara Magomedov,17-1-0
"May 20, 1988","6' 3""","75""",3.52,3.03,Southpaw,46%,52%,0.7,18%,0.44,65%,185 lbs.,06827d70c53ff0d9,Scott Askham,14-4-0
"Jul 05, 1986","6' 7""","80""",3.61,3.28,Orthodox,45%,45%,0.4,0%,0.00,27%,258 lbs.,068f8a189a47fea6,Maurice Greene,9-7-0
"Feb 14, 1989","5' 6""","67""",5.07,3.36,Southpaw,44%,57%,0.0,16%,1.00,70%,135 lbs.,06a80a685ea98573,Irwin Rivera,10-6-0
"Oct 05, 1994","5' 5""","66""",1.58,2.88,Switch,56%,56%,0.2,49%,4.90,72%,135 lbs.,06e4245d16fc5315,Ailin Perez,13-2-0
"Jul 29, 1973","6' 3""",--,3.91,2.61,Orthodox,69%,26%,4.3,57%,4.34,66%,235 lbs.,06f0ffa6446c5b6d,Branden Lee Hinkle,17-11-0 (1 NC)
"Oct 02, 1980","6' 1""","77""",3.71,3.31,Orthodox,48%,42%,1.0,47%,1.96,59%,205 lbs.,06f36cf4bd97ec77,Ed Herman,27-16-0 (1 NC)
"Jan 23, 1996","5' 9""","68""",3.38,4.13,Orthodox,40%,64%,0.0,100%,0.31,50%,135 lbs.,07047eb7d17fb0a2,Daria Zhelezniakova,10-3-0
"Oct 17, 1989","5' 10""","74""",3.05,3.23,Orthodox,55%,48%,2.6,39%,2.29,54%,155 lbs.,07225ba28ae309b6,Charles Oliveira,37-11-0 (1 NC)
"Aug 04, 1989","5' 3""",--,3.43,0.87,Orthodox,31%,58%,0.0,45%,2.34,0%,135 lbs.,072a10e85f7d4bff,Milana Dudieva,11-6-0
"Sep 06, 1986","5' 10""","70""",3.06,4.05,Switch,47%,62%,0.1,36%,0.52,84%,170 lbs.,0749d968e932df53,Tarec Saffiedine,16-7-0
"Jul 21, 1986","5' 10""","73""",4.46,2.44,Orthodox,28%,55%,0.0,100%,0.62,50%,135 lbs.,0778f94eb5d588a5,Joey Gomez,6-2-0
"Jan 13, 1992","5' 8""","70""",10.56,7.58,Orthodox,36%,41%,0.0,50%,0.33,16%,135 lbs.,07797f10b9569cfc,Angel Pacheco,7-4-0
"Jun 18, 1991","5' 6""","68""",4.69,5.02,Orthodox,56%,53%,0.2,0%,0.00,60%,125 lbs.,077e3ace32b72be9,CJ Vergara,12-7-1
"Feb 09, 1994","5' 9""","71""",4.81,3.47,Orthodox,40%,51%,0.0,33%,0.63,55%,170 lbs.,078695e385ec2f57,Victor Valenzuela,14-4-0
"Sep 17, 1969","6' 8""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,300 lbs.,07a18ae55dfc3cd9,Paul Varelans,9-9-0
"Apr 25, 1992","5' 5""","67""",3.27,2.63,Orthodox,52%,50%,1.0,60%,2.90,51%,125 lbs.,07a2bdaa0afdd831,Rogerio Bontorin,16-4-0 (2 NC)
"May 28, 1995","6' 3""","77""",3.59,2.71,Southpaw,56%,46%,0.8,22%,0.85,0%,205 lbs.,07a74004d964c7f4,Billy Elekana,10-2-0
"Feb 02, 1995","5' 9""","72""",4.24,2.40,Switch,45%,56%,0.0,66%,1.67,75%,155 lbs.,07bc580bdf3eb9c8,Lance Gibson Jr.,10-2-0
"Jul 19, 1987","6' 4""","84""",2.24,4.38,Orthodox,58%,64%,0.5,45%,1.89,95%,248 lbs.,07f72a2a7591b409,Jon Jones,28-1-0 (1 NC)
"Nov 05, 1987","5' 6""","69""",2.79,1.53,Orthodox,57%,49%,1.6,0%,0.00,25%,135 lbs.,07f959e6596307bb,Carlos Vera,12-4-0
"Nov 17, 1994","5' 11""","73""",3.29,3.29,Orthodox,44%,61%,0.3,0%,0.00,33%,145 lbs.,082eba4cd80f736f,Jarno Errens,14-6-1
"Jan 06, 2000","6' 3""","75""",0.77,1.99,Southpaw,86%,47%,0.0,85%,5.77,100%,185 lbs.,084532da3d25f3b8,Cezary Oleksiejczuk,17-3-0
"Sep 19, 1989","6' 2""","75""",4.19,4.99,Orthodox,48%,55%,0.1,29%,0.50,80%,205 lbs.,0845c81e37d3bcb3,Volkan Oezdemir,21-8-0
"Jun 04, 2000","6' 2""","77""",4.65,7.16,Orthodox,38%,64%,0.0,0%,0.00,75%,170 lbs.,0859524157a19045,Ty Miller,7-0-0 (1 NC)
"Mar 11, 1986","5' 9""",--,2.05,1.48,Southpaw,27%,55%,0.0,33%,3.42,66%,145 lbs.,0871254cd790c250,Tommy Hayden,11-3-0
"Jan 12, 1978","5' 11""",--,0.53,1.67,Orthodox,69%,33%,2.0,0%,0.00,14%,135 lbs.,0876d21328cf4a45,Dave Galera,5-1-0
--,"6' 8""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,245 lbs.,08a7080ff5904661,Rafael Carino,2-1-1
"Jan 05, 1968","6' 3""",--,2.12,0.76,Orthodox,83%,30%,2.3,100%,4.55,0%,235 lbs.,08ae5cd9aef7ddd3,Kimo Leopoldo,10-7-1
"May 06, 1989","5' 10""","72""",2.63,3.74,Southpaw,49%,57%,0.8,38%,2.21,82%,155 lbs.,08af939f41b5a57b,Beneil Dariush,23-8-1
"Oct 31, 1988","5' 10""","73""",2.16,2.94,Orthodox,42%,66%,0.3,55%,2.16,50%,145 lbs.,08e908ed6d18d6a0,Myles Jury,17-4-0
"Oct 18, 1993","6' 0""","75""",3.10,4.57,Orthodox,60%,51%,1.6,48%,5.88,68%,185 lbs.,093e1f5bb73850be,Anthony Hernandez,15-3-0 (1 NC)
"Sep 12, 1983","5' 9""","69""",3.99,3.49,Southpaw,45%,53%,0.3,46%,3.83,63%,185 lbs.,0941df56f6ac954b,Johny Hendricks,18-8-0
"Jan 08, 1990","6' 2""","77""",2.15,1.59,Orthodox,50%,50%,0.4,16%,2.02,0%,255 lbs.,095854a135e6db55,Marcus Buchecha,5-3-1
"Jan 15, 1996","5' 9""","74""",2.89,0.73,Southpaw,33%,45%,0.6,20%,1.16,33%,135 lbs.,0978385b2bd9ef9b,Nick Aguirre,7-2-0
"Mar 15, 1990","6' 3""","76""",5.05,1.56,Southpaw,43%,36%,0.0,0%,0.00,36%,205 lbs.,09a4447655fd4b7b,Rafael Cerqueira,11-4-0
"Oct 19, 1966","5' 5""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,145 lbs.,09c44b317c98bf96,David Velasquez,10-10-0
"Sep 07, 1990","5' 7""","68""",4.70,1.67,Orthodox,50%,43%,3.5,33%,2.36,0%,125 lbs.,09e62c450e754913,Jimmy Flick,17-9-0
"Nov 11, 1991","5' 8""","69""",2.14,1.37,Orthodox,40%,52%,0.9,60%,1.79,64%,145 lbs.,09f579be4520394a,Diego Rivas,10-2-0
"Jun 10, 1988","6' 1""","77""",3.72,5.15,Orthodox,45%,56%,0.4,29%,1.48,80%,170 lbs.,0a1942069c9ad6b6,Jack Hermansson,24-10-0
"May 04, 1994","5' 8""","69""",2.64,1.95,Orthodox,45%,50%,0.2,35%,3.30,28%,145 lbs.,0a73acff6325c1e2,Shayilan Nuerdanbieke,39-12-0
"Aug 07, 1988","5' 9""","74""",6.14,0.18,Orthodox,8%,36%,0.0,0%,0.00,25%,185 lbs.,0a95c474e61a6c44,Adam Yandiev,9-1-0
"Jul 22, 1982","5' 8""","68""",4.18,4.08,Orthodox,42%,69%,0.9,66%,0.25,71%,145 lbs.,0a97691039c4bbfb,Mark Hominick,20-12-0
"Jun 22, 1963","6' 1""","75""",1.53,2.85,Orthodox,57%,59%,0.5,46%,2.78,58%,205 lbs.,0aa92558424ced9e,Randy Couture,19-11-0
"Apr 24, 1993","6' 2""","74""",4.21,2.88,Orthodox,43%,54%,0.0,21%,1.93,100%,205 lbs.,0abcf6bc47191219,Bruno Lopes,14-3-0
"Jul 18, 1984","5' 11""","73""",5.66,3.64,Orthodox,49%,36%,0.9,55%,4.33,0%,170 lbs.,0b31f87be71ebbb1,Ben Askren,19-2-0 (1 NC)
"Apr 30, 1996","5' 5""","67""",3.02,1.88,Orthodox,39%,40%,2.3,25%,1.55,25%,135 lbs.,0b362247806341e5,JP Buys,9-6-0
"May 05, 1981","6' 3""","75""",1.86,3.92,Orthodox,55%,49%,0.0,50%,0.44,58%,185 lbs.,0b5b6876c2a4723f,Steve Steinbeiss,9-4-0
"Sep 17, 1982","5' 5""","66""",3.41,3.37,Orthodox,40%,65%,0.7,45%,2.61,59%,135 lbs.,0b64d0fed453ef7f,Scott Jorgensen,15-12-0
"Dec 28, 1984","5' 10""","70""",4.45,4.36,Orthodox,41%,58%,0.3,28%,0.64,61%,145 lbs.,0b8d512c79b4baf3,Matt Bessette,22-9-0 (1 NC)
"Jan 09, 1995","5' 9""","70""",3.88,4.39,Switch,53%,43%,0.0,50%,1.45,52%,145 lbs.,0bc697c5936a2d0a,Trevor Peek,9-3-0 (1 NC)
"Jun 30, 1972","6' 3""",--,3.20,1.31,Orthodox,31%,38%,0.0,33%,1.09,40%,257 lbs.,0bc7e61d204f2137,Fabiano Scherner,11-10-0 (3 NC)
"May 14, 1982","6' 0""",--,4.43,1.50,Orthodox,35%,37%,0.5,50%,1.00,28%,185 lbs.,0bcfe2513cb3bc39,Tom DeBlass,9-2-0
"Oct 16, 1998","5' 5""","64""",2.92,1.91,Switch,38%,60%,0.0,36%,1.98,68%,125 lbs.,0be6776db31d98ec,Mitch Raposo,11-3-0
"Apr 02, 1993","5' 6""","70""",4.29,2.68,Orthodox,34%,47%,0.0,50%,3.66,83%,135 lbs.,0c258d1d8e16e5f1,Kevin Natividad,9-4-0
"May 17, 1992","6' 3""","78""",3.65,4.90,Orthodox,50%,54%,0.4,33%,0.41,35%,236 lbs.,0c25d0a5e8cdbf19,Lukasz Brzeski,9-7-1 (1 NC)
"Dec 14, 1987","6' 1""","73""",2.78,2.27,Orthodox,40%,56%,1.6,15%,1.05,58%,185 lbs.,0c5c66ddd1886b83,Caio Magalhaes,10-3-0
"Mar 14, 1984","5' 10""",--,6.65,3.19,Orthodox,26%,49%,0.0,0%,0.00,100%,170 lbs.,0c670b443c3d269f,Jim Wallhead,29-11-0
"Dec 21, 1987","6' 1""","74""",3.32,3.41,Orthodox,43%,54%,0.0,26%,0.70,80%,185 lbs.,0c6d9ea8306c029e,Brad Tavares,21-13-0
"Jun 25, 1983","6' 0""","73""",4.41,4.67,Orthodox,51%,62%,0.0,13%,1.99,0%,185 lbs.,0c9c0a43d3f3f49d,Marcelo Guimaraes,9-2-1
"Sep 22, 1979","5' 3""","65""",1.89,1.58,Orthodox,26%,61%,0.0,25%,2.84,84%,125 lbs.,0ccab7c889ede9ea,Fredy Serrano,3-2-0
"Mar 31, 1995","6' 2""","77""",2.72,1.30,Orthodox,55%,33%,1.8,50%,0.59,55%,185 lbs.,0cd0456d6029cec2,Robert Valentin,12-6-0 (1 NC)
"Apr 15, 1967","5' 10""",--,1.88,1.70,Orthodox,63%,30%,0.0,0%,0.00,33%,210 lbs.,0cf935519d439ba6,Enson Inoue,12-8-0
"Aug 19, 1987","5' 6""","67""",4.14,2.99,Orthodox,38%,51%,1.9,83%,3.20,55%,125 lbs.,0d0351c20169a499,Jon Delos Reyes,8-5-0
"Apr 08, 1987","5' 9""",--,5.33,2.47,Orthodox,51%,44%,0.0,10%,1.00,33%,145 lbs.,0d1c163b206e8c5f,Rocky Lee,3-2-0
"Mar 10, 1976","6' 0""","76""",3.73,3.84,Southpaw,39%,64%,0.4,18%,0.39,66%,170 lbs.,0d506315895efffc,Sean Pierson,14-6-0
"Oct 02, 1995","6' 4""","79""",4.13,4.70,Orthodox,50%,58%,0.2,46%,1.38,50%,265 lbs.,0d5cc0170c1a7e71,Mick Parkin,10-1-0
"Oct 11, 1990","5' 8""","72""",3.64,3.00,Orthodox,42%,63%,0.0,0%,0.00,53%,145 lbs.,0d62719b1dcf7c40,Sheymon Moraes,11-4-0
"Feb 22, 1995","6' 0""","74""",4.45,5.73,Southpaw,52%,60%,0.0,42%,0.99,52%,185 lbs.,0d65c432720accb9,Michal Oleksiejczuk,22-10-0 (1 NC)
"Jan 14, 1994","6' 1""","76""",4.33,5.18,Switch,48%,52%,0.7,51%,2.22,34%,185 lbs.,0d7b51c9d2649a6e,Dricus Du Plessis,23-3-0
"Feb 27, 1991","6' 1""","76""",4.53,5.98,Orthodox,42%,60%,0.1,62%,0.66,68%,185 lbs.,0d8011111be000b2,Sean Strickland,31-7-0
"Aug 09, 1990","6' 2""","76""",3.46,5.35,Orthodox,48%,51%,0.0,0%,0.00,50%,205 lbs.,0d980975001ae3d8,Shamil Gamzatov,14-1-0
--,"5' 9""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,200 lbs.,0db70ca89e1c7374,Dieusel Berto,0-3-0
"Dec 25, 1982","6' 0""","77""",2.48,3.10,Orthodox,47%,57%,0.5,34%,2.55,77%,185 lbs.,0dba4df5f34d5ff0,Rafael Natal,21-9-1
"Mar 14, 1987","5' 8""","67""",3.83,2.86,Orthodox,38%,50%,0.0,60%,1.95,87%,145 lbs.,0de720c0f1d4ab9c,Danny Chavez,11-5-1
"May 17, 1970","6' 0""","74""",1.56,2.62,Southpaw,50%,52%,1.3,48%,3.01,60%,185 lbs.,0e041d43a47d2e4b,Matt Lindland,22-9-0
"Apr 10, 1982","6' 5""","79""",3.02,2.38,Orthodox,51%,40%,1.0,64%,2.87,66%,185 lbs.,0e21976afc92e4d1,Magnus Cedenblad,14-5-0
--,"5' 9""",--,1.44,0.29,Orthodox,33%,0%,0.0,0%,0.00,50%,185 lbs.,0e31bfd26cc8c503,Chris Liguori,15-10-0
"Feb 08, 1999","5' 9""","71""",3.72,2.88,Orthodox,42%,55%,0.0,31%,1.18,71%,135 lbs.,0e46690e55a8df75,Timmy Cuamba,10-4-0
"Mar 07, 1996","5' 10""","70""",5.30,3.73,Orthodox,39%,45%,0.0,16%,0.50,60%,145 lbs.,0e5c4e72237461bb,Bruno Souza,10-3-0
"Apr 18, 2000","5' 3""","65""",10.00,6.93,Orthodox,47%,40%,0.0,14%,0.50,57%,135 lbs.,0e6b611451a9a7d8,Mark Vologdin,12-4-2
